frequency,V(inoise)
3.090295432513557e+003,1.259811e-008
3.162277660168345e+003,1.259848e-008
3.235936569296248e+003,1.259887e-008
3.311311214825875e+003,1.259928e-008
3.388441561391989e+003,1.259971e-008
3.467368504525279e+003,1.260016e-008
3.548133892335716e+003,1.260063e-008
3.630780547700973e+003,1.260113e-008
3.715352290971684e+003,1.260165e-008
3.801893963205570e+003,1.260219e-008
3.890451449942763e+003,1.260276e-008
3.981071705534928e+003,1.260336e-008
4.073802778041082e+003,1.260399e-008
4.168693834703307e+003,1.260465e-008
4.265795188015879e+003,1.260534e-008
4.365158322401610e+003,1.260606e-008
4.466835921509581e+003,1.260682e-008
4.570881896148699e+003,1.260762e-008
4.677351412871929e+003,1.260845e-008
4.786300923226329e+003,1.260933e-008
4.897788193684407e+003,1.261024e-008
5.000000000000000e+003,1.261110e-008
