Freq.	V(vip)/I(V2)
1.69824365246174e+01	2.00000000000010e+04,-3.41638502574143e-07
1.73780082874937e+01	2.00000000000011e+04,-3.49596285732245e-07
1.77827941003892e+01	2.00000000000011e+04,-3.57739429520325e-07
1.81970085860998e+01	2.00000000000012e+04,-3.66072251467412e-07
1.86208713666286e+01	2.00000000000013e+04,-3.74599169776371e-07
1.90546071796324e+01	2.00000000000014e+04,-3.83324705617509e-07
1.94984459975804e+01	2.00000000000015e+04,-3.92253485275542e-07
1.99526231496887e+01	2.00000000000016e+04,-4.01390242882992e-07
2.04173794466952e+01	2.00000000000017e+04,-4.10739822935215e-07
2.08929613085403e+01	2.00000000000018e+04,-4.20307182778298e-07
2.13796208950222e+01	2.00000000000019e+04,-4.30097395050628e-07
2.18776162394954e+01	2.00000000000020e+04,-4.40115650650950e-07
2.23872113856833e+01	2.00000000000021e+04,-4.50367261440138e-07
2.29086765276776e+01	2.00000000000022e+04,-4.60857663010196e-07
2.34422881531991e+01	2.00000000000024e+04,-4.71592417375975e-07
2.39883291901948e+01	2.00000000000025e+04,-4.82577216379709e-07
2.45470891568502e+01	2.00000000000026e+04,-4.93817884142917e-07
2.51188643150957e+01	2.00000000000028e+04,-5.05320380813726e-07
2.57039578276885e+01	2.00000000000029e+04,-5.17090805036239e-07
2.63026799189537e+01	2.00000000000031e+04,-5.29135397698125e-07
2.69153480392690e+01	2.00000000000033e+04,-5.41460545120757e-07
2.75422870333815e+01	2.00000000000035e+04,-5.54072782059295e-07
2.81838293126444e+01	2.00000000000036e+04,-5.66978795795979e-07
2.88403150312659e+01	2.00000000000038e+04,-5.80185429222263e-07
2.95120922666637e+01	2.00000000000040e+04,-5.93699684744962e-07
3.01995172040200e+01	2.00000000000043e+04,-6.07528727861795e-07
3.09029543251358e+01	2.00000000000045e+04,-6.21679890598477e-07
3.16227766016837e+01	2.00000000000047e+04,-6.36160676392404e-07
3.23593656929627e+01	2.00000000000050e+04,-6.50978763263456e-07
3.31131121482590e+01	2.00000000000052e+04,-6.66142007809886e-07
3.38844156139201e+01	2.00000000000055e+04,-6.81658449610767e-07
3.46736850452530e+01	2.00000000000058e+04,-6.97536315777207e-07
3.54813389233574e+01	2.00000000000061e+04,-7.13784025282806e-07
3.63078054770100e+01	2.00000000000064e+04,-7.30410192481226e-07
3.71535229097171e+01	2.00000000000067e+04,-7.47423633100799e-07
3.80189396320559e+01	2.00000000000071e+04,-7.64833367806569e-07
3.89045144994279e+01	2.00000000000074e+04,-7.82648627056433e-07
3.98107170553495e+01	2.00000000000078e+04,-8.00878857544155e-07
4.07380277804111e+01	2.00000000000082e+04,-8.19533724800812e-07
4.16869383470333e+01	2.00000000000086e+04,-8.38623119596249e-07
4.26579518801591e+01	2.00000000000090e+04,-8.58157164000655e-07
4.36515832240164e+01	2.00000000000095e+04,-8.78146214834636e-07
4.46683592150961e+01	2.00000000000100e+04,-8.98600870441776e-07
4.57088189614873e+01	2.00000000000105e+04,-9.19531976702560e-07
4.67735141287196e+01	2.00000000000110e+04,-9.40950631069442e-07
4.78630092322636e+01	2.00000000000115e+04,-9.62868190327246e-07
4.89778819368444e+01	2.00000000000121e+04,-9.85296275365137e-07
5.01187233627270e+01	2.00000000000127e+04,-1.00824677755902e-06
5.12861383991362e+01	2.00000000000133e+04,-1.03173186609360e-06
5.24807460249770e+01	2.00000000000140e+04,-1.05576399297102e-06
5.37031796370250e+01	2.00000000000146e+04,-1.08035590038423e-06
5.49540873857622e+01	2.00000000000153e+04,-1.10552062712752e-06
5.62341325190346e+01	2.00000000000161e+04,-1.13127151598678e-06
5.75439937337154e+01	2.00000000000169e+04,-1.15762222064662e-06
5.88843655355586e+01	2.00000000000177e+04,-1.18458671248458e-06
6.02559586074355e+01	2.00000000000186e+04,-1.21217928838183e-06
6.16595001861479e+01	2.00000000000195e+04,-1.24041457837562e-06
6.30957344480190e+01	2.00000000000204e+04,-1.26930755325183e-06
6.45654229034652e+01	2.00000000000214e+04,-1.29887353277341e-06
6.60693448007593e+01	2.00000000000224e+04,-1.32912819283775e-06
6.76082975391978e+01	2.00000000000235e+04,-1.36008757500691e-06
6.91830970918933e+01	2.00000000000246e+04,-1.39176809463913e-06
7.07945784384134e+01	2.00000000000258e+04,-1.42418654927814e-06
7.24435960074986e+01	2.00000000000271e+04,-1.45736012710496e-06
7.41310241300914e+01	2.00000000000284e+04,-1.49130641780484e-06
7.58577575029180e+01	2.00000000000297e+04,-1.52604342041021e-06
7.76247116628688e+01	2.00000000000312e+04,-1.56158955272924e-06
7.94328234724277e+01	2.00000000000326e+04,-1.59796366121696e-06
8.12830516164095e+01	2.00000000000342e+04,-1.63518503274634e-06
8.31763771102667e+01	2.00000000000358e+04,-1.67327340284412e-06
8.51138038202372e+01	2.00000000000376e+04,-1.71224896642325e-06
8.70963589956076e+01	2.00000000000393e+04,-1.75213238886419e-06
8.91250938133741e+01	2.00000000000412e+04,-1.79294481718619e-06
9.12010839355905e+01	2.00000000000432e+04,-1.83470789042774e-06
9.33254300796986e+01	2.00000000000452e+04,-1.87744375224295e-06
9.54992586021431e+01	2.00000000000474e+04,-1.92117506248264e-06
9.77237220955805e+01	2.00000000000497e+04,-1.96592500677957e-06
9.99999999999995e+01	2.00000000000520e+04,-2.01171731410636e-06
1.02329299228075e+02	2.00000000000545e+04,-2.05857626300334e-06
1.04712854805089e+02	2.00000000000571e+04,-2.10652669913429e-06
1.07151930523760e+02	2.00000000000598e+04,-2.15559404738323e-06
1.09647819614318e+02	2.00000000000627e+04,-2.20580432346505e-06
1.12201845430196e+02	2.00000000000656e+04,-2.25718415057818e-06
1.14815362149688e+02	2.00000000000688e+04,-2.30976077001796e-06
1.17489755493952e+02	2.00000000000720e+04,-2.36356206040850e-06
1.20226443461741e+02	2.00000000000755e+04,-2.41861654682836e-06
1.23026877081237e+02	2.00000000000790e+04,-2.47495342047450e-06
1.25892541179416e+02	2.00000000000828e+04,-2.53260255294213e-06
1.28824955169313e+02	2.00000000000867e+04,-2.59159451123522e-06
1.31825673855640e+02	2.00000000000908e+04,-2.65196057276109e-06
1.34896288259165e+02	2.00000000000951e+04,-2.71373274655072e-06
1.38038426460288e+02	2.00000000000996e+04,-2.77694378348667e-06
1.41253754462275e+02	2.00000000001044e+04,-2.84162720016397e-06
1.44543977074592e+02	2.00000000001093e+04,-2.90781729462909e-06
1.47910838816820e+02	2.00000000001145e+04,-2.97554915943163e-06
1.51356124843620e+02	2.00000000001199e+04,-3.04485871088720e-06
1.54881661891247e+02	2.00000000001256e+04,-3.11578269617770e-06
1.58489319246110e+02	2.00000000001315e+04,-3.18835872222238e-06
1.62181009735892e+02	2.00000000001377e+04,-3.26262526843526e-06
1.65958690743755e+02	2.00000000001443e+04,-3.33862171465074e-06
1.69824365246173e+02	2.00000000001511e+04,-3.41638835599645e-06
1.73780082874936e+02	2.00000000001582e+04,-3.49596642519982e-06
1.77827941003891e+02	2.00000000001657e+04,-3.57739811868945e-06
1.81970085860997e+02	2.00000000001736e+04,-3.66072661223130e-06
1.86208713666286e+02	2.00000000001818e+04,-3.74599608870505e-06
1.90546071796323e+02	2.00000000001903e+04,-3.83325176000625e-06
1.94984459975803e+02	2.00000000001993e+04,-3.92253989269019e-06
1.99526231496887e+02	2.00000000002088e+04,-4.01390783043107e-06
2.04173794466952e+02	2.00000000002186e+04,-4.10740401738098e-06
2.08929613085403e+02	2.00000000002289e+04,-4.20307802923484e-06
2.13796208950222e+02	2.00000000002398e+04,-4.30098059525967e-06
2.18776162394954e+02	2.00000000002511e+04,-4.40116362664257e-06
2.23872113856832e+02	2.00000000002630e+04,-4.50368024388596e-06
2.29086765276776e+02	2.00000000002754e+04,-4.60858480445259e-06
2.34422881531991e+02	2.00000000002884e+04,-4.71593293305757e-06
2.39883291901947e+02	2.00000000003020e+04,-4.82578154943407e-06
2.45470891568501e+02	2.00000000003162e+04,-4.93818889904890e-06
2.51188643150956e+02	2.00000000003312e+04,-5.05321458500598e-06
2.57039578276885e+02	2.00000000003468e+04,-5.17091959719275e-06
2.63026799189536e+02	2.00000000003632e+04,-5.29136635181545e-06
2.69153480392690e+02	2.00000000003803e+04,-5.41461870904700e-06
2.75422870333815e+02	2.00000000003983e+04,-5.54074202710166e-06
2.81838293126443e+02	2.00000000004171e+04,-5.66980317978972e-06
2.88403150312659e+02	2.00000000004367e+04,-5.80187060330127e-06
2.95120922666637e+02	2.00000000004574e+04,-5.93701432400375e-06
3.01995172040200e+02	2.00000000004789e+04,-6.07530600456068e-06
3.09029543251357e+02	2.00000000005015e+04,-6.21681897287487e-06
3.16227766016836e+02	2.00000000005252e+04,-6.36162826717383e-06
3.23593656929626e+02	2.00000000005500e+04,-6.50981067343800e-06
3.31131121482589e+02	2.00000000005759e+04,-6.66144476459516e-06
3.38844156139200e+02	2.00000000006031e+04,-6.81661094944078e-06
3.46736850452529e+02	2.00000000006315e+04,-6.97539150329632e-06
3.54813389233573e+02	2.00000000006613e+04,-7.13787062473516e-06
3.63078054770099e+02	2.00000000006925e+04,-7.30413446975178e-06
3.71535229097170e+02	2.00000000007252e+04,-7.47427120271086e-06
3.80189396320558e+02	2.00000000007594e+04,-7.64837104450110e-06
3.89045144994278e+02	2.00000000007952e+04,-7.82652631131237e-06
3.98107170553494e+02	2.00000000008327e+04,-8.00883147939140e-06
4.07380277804110e+02	2.00000000008719e+04,-8.19538321935504e-06
4.16869383470332e+02	2.00000000009131e+04,-8.38628045626615e-06
4.26579518801589e+02	2.00000000009561e+04,-8.58162442199711e-06
4.36515832240163e+02	2.00000000010012e+04,-8.78151870426035e-06
4.46683592150960e+02	2.00000000010484e+04,-8.98606930571856e-06
4.57088189614872e+02	2.00000000010979e+04,-9.19538470241722e-06
4.67735141287195e+02	2.00000000011496e+04,-9.40957589108296e-06
4.78630092322635e+02	2.00000000012038e+04,-9.62875645719109e-06
4.89778819368442e+02	2.00000000012606e+04,-9.85304264103423e-06
5.01187233627268e+02	2.00000000013200e+04,-1.00825533777488e-05
5.12861383991361e+02	2.00000000013823e+04,-1.03174103852032e-05
5.24807460249769e+02	2.00000000014474e+04,-1.05577382142861e-05
5.37031796370249e+02	2.00000000015157e+04,-1.08036643161990e-05
5.49540873857620e+02	2.00000000015871e+04,-1.10553191153477e-05
5.62341325190345e+02	2.00000000016619e+04,-1.13128360759445e-05
5.75439937337152e+02	2.00000000017403e+04,-1.15763517695039e-05
5.88843655355584e+02	2.00000000018223e+04,-1.18460059535745e-05
6.02559586074353e+02	2.00000000019082e+04,-1.21219416416953e-05
6.16595001861477e+02	2.00000000019982e+04,-1.24043051811068e-05
6.30957344480188e+02	2.00000000020924e+04,-1.26932463272773e-05
6.45654229034650e+02	2.00000000021910e+04,-1.29889183359539e-05
6.60693448007591e+02	2.00000000022943e+04,-1.32914780266734e-05
6.76082975391976e+02	2.00000000024025e+04,-1.36010858744450e-05
6.91830970918931e+02	2.00000000025157e+04,-1.39179061005014e-05
7.07945784384132e+02	2.00000000026343e+04,-1.42421067499123e-05
7.24435960074984e+02	2.00000000027585e+04,-1.45738597807604e-05
7.41310241300911e+02	2.00000000028885e+04,-1.49133411781770e-05
7.58577575029177e+02	2.00000000030247e+04,-1.52607310158624e-05
7.76247116628685e+02	2.00000000031672e+04,-1.56162135662084e-05
7.94328234724275e+02	2.00000000033165e+04,-1.59799773973262e-05
8.12830516164092e+02	2.00000000034729e+04,-1.63522154929180e-05
8.31763771102664e+02	2.00000000036366e+04,-1.67331253057255e-05
8.51138038202369e+02	2.00000000038080e+04,-1.71229089254621e-05
8.70963589956073e+02	2.00000000039875e+04,-1.75217731339040e-05
8.91250938133738e+02	2.00000000041754e+04,-1.79299295449474e-05
9.12010839355902e+02	2.00000000043722e+04,-1.83475947078787e-05
9.33254300796983e+02	2.00000000045783e+04,-1.87749902136343e-05
9.54992586021428e+02	2.00000000047941e+04,-1.92123428409231e-05
9.77237220955802e+02	2.00000000050201e+04,-1.96598846398278e-05
9.99999999999991e+02	2.00000000052567e+04,-2.01178530932757e-05
1.02329299228075e+03	2.00000000055044e+04,-2.05864912115327e-05
1.04712854805089e+03	2.00000000057639e+04,-2.10660476885326e-05
1.07151930523760e+03	2.00000000060355e+04,-2.15567770047320e-05
1.09647819614318e+03	2.00000000063200e+04,-2.20589395950089e-05
1.12201845430195e+03	2.00000000066179e+04,-2.25728019669598e-05
1.14815362149687e+03	2.00000000069298e+04,-2.30986368589304e-05
1.17489755493952e+03	2.00000000072564e+04,-2.36367233607605e-05
1.20226443461740e+03	2.00000000075984e+04,-2.41873470922531e-05
1.23026877081237e+03	2.00000000079566e+04,-2.47508003463493e-05
1.25892541179416e+03	2.00000000083316e+04,-2.53273822274991e-05
1.28824955169312e+03	2.00000000087243e+04,-2.59173988319186e-05
1.31825673855640e+03	2.00000000091354e+04,-2.65211634249082e-05
1.34896288259164e+03	2.00000000095660e+04,-2.71389965554048e-05
1.38038426460287e+03	2.00000000100169e+04,-2.77712263007410e-05
1.41253754462274e+03	2.00000000104890e+04,-2.84181883811806e-05
1.44543977074591e+03	2.00000000109833e+04,-2.90802263749978e-05
1.47910838816819e+03	2.00000000115010e+04,-2.97576918973187e-05
1.51356124843619e+03	2.00000000120430e+04,-3.04509447744250e-05
1.54881661891247e+03	2.00000000126106e+04,-3.11603532427722e-05
1.58489319246110e+03	2.00000000132050e+04,-3.18862941765706e-05
1.62181009735891e+03	2.00000000138273e+04,-3.26291532492300e-05
1.65958690743754e+03	2.00000000144790e+04,-3.33893251512501e-05
1.69824365246173e+03	2.00000000151614e+04,-3.41672138518359e-05
1.73780082874936e+03	2.00000000158760e+04,-3.49632327261892e-05
1.77827941003891e+03	2.00000000166242e+04,-3.57778048674033e-05
1.81970085860997e+03	2.00000000174077e+04,-3.66113632668306e-05
1.86208713666285e+03	2.00000000182281e+04,-3.74643510531659e-05
1.90546071796323e+03	2.00000000190872e+04,-3.83372217545016e-05
1.94984459975803e+03	2.00000000199868e+04,-3.92304395187598e-05
1.99526231496886e+03	2.00000000209288e+04,-4.01444793921121e-05
2.04173794466951e+03	2.00000000219151e+04,-4.10798275492198e-05
2.08929613085402e+03	2.00000000229480e+04,-4.20369815762961e-05
2.13796208950221e+03	2.00000000240295e+04,-4.30164507363292e-05
2.18776162394953e+03	2.00000000251620e+04,-4.40187562927669e-05
2.23872113856832e+03	2.00000000263479e+04,-4.50444316871403e-05
2.29086765276775e+03	2.00000000275897e+04,-4.60940229223121e-05
2.34422881531990e+03	2.00000000288900e+04,-4.71680888676462e-05
2.39883291901947e+03	2.00000000302515e+04,-4.82672015113044e-05
2.45470891568501e+03	2.00000000316772e+04,-4.93919462840174e-05
2.51188643150955e+03	2.00000000331702e+04,-5.05429224277809e-05
2.57039578276884e+03	2.00000000347335e+04,-5.17207433008725e-05
2.63026799189535e+03	2.00000000363704e+04,-5.29260366968278e-05
2.69153480392689e+03	2.00000000380845e+04,-5.41594451949257e-05
2.75422870333814e+03	2.00000000398794e+04,-5.54216265873310e-05
2.81838293126442e+03	2.00000000417589e+04,-5.67132541385571e-05
2.88403150312658e+03	2.00000000437270e+04,-5.80350170608896e-05
2.95120922666635e+03	2.00000000457878e+04,-5.93876208406293e-05
3.01995172040198e+03	2.00000000479457e+04,-6.07717876199699e-05
3.09029543251356e+03	2.00000000502054e+04,-6.21882567058945e-05
3.16227766016835e+03	2.00000000525715e+04,-6.36377848049068e-05
3.23593656929625e+03	2.00000000550491e+04,-6.51211466790415e-05
3.31131121482588e+03	2.00000000576435e+04,-6.66391354067504e-05
3.38844156139199e+03	2.00000000603602e+04,-6.81925629033546e-05
3.46736850452528e+03	2.00000000632049e+04,-6.97822603749187e-05
3.54813389233572e+03	2.00000000661837e+04,-7.14090788245404e-05
3.63078054770097e+03	2.00000000693029e+04,-7.30738895068346e-05
3.71535229097168e+03	2.00000000725691e+04,-7.47775844227713e-05
3.80189396320557e+03	2.00000000759891e+04,-7.65210768707895e-05
3.89045144994276e+03	2.00000000795704e+04,-7.83053019583727e-05
3.98107170553493e+03	2.00000000833205e+04,-8.01312172014431e-05
4.07380277804108e+03	2.00000000872473e+04,-8.19998029484560e-05
4.16869383470331e+03	2.00000000913592e+04,-8.39120631141682e-05
4.26579518801588e+03	2.00000000956648e+04,-8.58690257026647e-05
4.36515832240161e+03	2.00000001001734e+04,-8.78717434162752e-05
4.46683592150958e+03	2.00000001048944e+04,-8.99212943120942e-05
4.57088189614870e+03	2.00000001098380e+04,-9.20187824281753e-05
4.67735141287193e+03	2.00000001150145e+04,-9.41653384611947e-05
4.78630092322633e+03	2.00000001204350e+04,-9.63621204063341e-05
4.89778819368441e+03	2.00000001261109e+04,-9.86103144131927e-05
5.01187233627267e+03	2.00000001320544e+04,-1.00911135349066e-04
5.12861383991359e+03	2.00000001382779e+04,-1.03265827564495e-04
5.24807460249767e+03	2.00000001447948e+04,-1.05675665905882e-04
5.37031796370247e+03	2.00000001516188e+04,-1.08141956092961e-04
5.49540873857618e+03	2.00000001587644e+04,-1.10666035999617e-04
5.62341325190343e+03	2.00000001662467e+04,-1.13249276191044e-04
5.75439937337150e+03	2.00000001740817e+04,-1.15893080908066e-04
5.88843655355582e+03	2.00000001822860e+04,-1.18598889008976e-04
6.02559586074351e+03	2.00000001908769e+04,-1.21368174912043e-04
6.16595001861475e+03	2.00000001998726e+04,-1.24202449410098e-04
6.30957344480186e+03	2.00000002092924e+04,-1.27103260924886e-04
6.45654229034648e+03	2.00000002191560e+04,-1.30072196356139e-04
6.60693448007588e+03	2.00000002294846e+04,-1.33110882213076e-04
6.76082975391974e+03	2.00000002402998e+04,-1.36220985776138e-04
6.91830970918928e+03	2.00000002516249e+04,-1.39404216163908e-04
7.07945784384129e+03	2.00000002634836e+04,-1.42662325583337e-04
7.24435960074981e+03	2.00000002759012e+04,-1.45997110576115e-04
7.41310241300908e+03	2.00000002889040e+04,-1.49410413183440e-04
7.58577575029174e+03	2.00000003025197e+04,-1.52904122497184e-04
7.76247116628682e+03	2.00000003167770e+04,-1.56480175784622e-04
7.94328234724272e+03	2.00000003317063e+04,-1.60140560216252e-04
8.12830516164089e+03	2.00000003473391e+04,-1.63887313911174e-04
8.31763771102661e+03	2.00000003637087e+04,-1.67722528036660e-04
8.51138038202366e+03	2.00000003808498e+04,-1.71648347930920e-04
8.70963589956070e+03	2.00000003987987e+04,-1.75666975133348e-04
8.91250938133734e+03	2.00000004175935e+04,-1.79780668885879e-04
9.12010839355898e+03	2.00000004372741e+04,-1.83991748017618e-04
9.33254300796979e+03	2.00000004578822e+04,-1.88302592905562e-04
9.54992586021424e+03	2.00000004794615e+04,-1.92715647237864e-04
9.77237220955798e+03	2.00000005020578e+04,-1.97233420388047e-04
9.99999999999987e+03	2.00000005257191e+04,-2.01858489264259e-04
1.02329299228074e+04	2.00000005504955e+04,-2.06593500660315e-04
1.04712854805089e+04	2.00000005764395e+04,-2.11441173606941e-04
1.07151930523759e+04	2.00000006036063e+04,-2.16404301704318e-04
1.09647819614317e+04	2.00000006320533e+04,-2.21485755845142e-04
1.12201845430195e+04	2.00000006618411e+04,-2.26688486754254e-04
1.14815362149687e+04	2.00000006930327e+04,-2.32015527683716e-04
1.17489755493951e+04	2.00000007256943e+04,-2.37469997618146e-04
1.20226443461740e+04	2.00000007598951e+04,-2.43055104069543e-04
1.23026877081237e+04	2.00000007957079e+04,-2.48774146273407e-04
