Freq.	V(vim)/I(V1)
1.20226443461741e+01	1.00000010777202e+04,1.01112831856942e-02
1.23026877081238e+01	1.00000010777205e+04,1.03468052268872e-02
1.25892541179416e+01	1.00000010777208e+04,1.05878132811677e-02
1.28824955169313e+01	1.00000010777211e+04,1.08344351341962e-02
1.31825673855640e+01	1.00000010777214e+04,1.10868015481435e-02
1.34896288259165e+01	1.00000010777217e+04,1.13450463310228e-02
1.38038426460288e+01	1.00000010777220e+04,1.16093064076363e-02
1.41253754462275e+01	1.00000010777224e+04,1.18797218921745e-02
1.44543977074592e+01	1.00000010777228e+04,1.21564361625066e-02
1.47910838816820e+01	1.00000010777231e+04,1.24395959362016e-02
1.51356124843620e+01	1.00000010777235e+04,1.27293513483195e-02
1.54881661891248e+01	1.00000010777240e+04,1.30258560310152e-02
1.58489319246111e+01	1.00000010777244e+04,1.33292671949961e-02
1.62181009735892e+01	1.00000010777249e+04,1.36397457128776e-02
1.65958690743755e+01	1.00000010777254e+04,1.39574562044794e-02
1.69824365246174e+01	1.00000010777259e+04,1.42825671241096e-02
1.73780082874937e+01	1.00000010777264e+04,1.46152508498813e-02
1.77827941003892e+01	1.00000010777270e+04,1.49556837751092e-02
1.81970085860998e+01	1.00000010777275e+04,1.53040464018367e-02
1.86208713666286e+01	1.00000010777282e+04,1.56605234365394e-02
1.90546071796324e+01	1.00000010777288e+04,1.60253038880598e-02
1.94984459975804e+01	1.00000010777295e+04,1.63985811678216e-02
1.99526231496887e+01	1.00000010777302e+04,1.67805531923796e-02
2.04173794466952e+01	1.00000010777309e+04,1.71714224883571e-02
2.08929613085403e+01	1.00000010777317e+04,1.75713962998286e-02
2.13796208950222e+01	1.00000010777325e+04,1.79806866982033e-02
2.18776162394954e+01	1.00000010777333e+04,1.83995106946679e-02
2.23872113856833e+01	1.00000010777342e+04,1.88280903552493e-02
2.29086765276776e+01	1.00000010777351e+04,1.92666529185563e-02
2.34422881531991e+01	1.00000010777361e+04,1.97154309162651e-02
2.39883291901948e+01	1.00000010777371e+04,2.01746622964104e-02
2.45470891568502e+01	1.00000010777382e+04,2.06445905495486e-02
2.51188643150957e+01	1.00000010777393e+04,2.11254648378596e-02
2.57039578276885e+01	1.00000010777404e+04,2.16175401272564e-02
2.63026799189537e+01	1.00000010777417e+04,2.21210773225708e-02
2.69153480392690e+01	1.00000010777429e+04,2.26363434058888e-02
2.75422870333815e+01	1.00000010777443e+04,2.31636115781082e-02
2.81838293126444e+01	1.00000010777457e+04,2.37031614037930e-02
2.88403150312659e+01	1.00000010777471e+04,2.42552789594027e-02
2.95120922666637e+01	1.00000010777487e+04,2.48202569849735e-02
3.01995172040200e+01	1.00000010777503e+04,2.53983950393328e-02
3.09029543251358e+01	1.00000010777519e+04,2.59899996589296e-02
3.16227766016837e+01	1.00000010777537e+04,2.65953845203641e-02
3.23593656929627e+01	1.00000010777556e+04,2.72148706067030e-02
3.31131121482590e+01	1.00000010777575e+04,2.78487863776693e-02
3.38844156139201e+01	1.00000010777595e+04,2.84974679437955e-02
3.46736850452530e+01	1.00000010777616e+04,2.91612592446343e-02
3.54813389233574e+01	1.00000010777638e+04,2.98405122311198e-02
3.63078054770100e+01	1.00000010777662e+04,3.05355870521764e-02
3.71535229097171e+01	1.00000010777686e+04,3.12468522456747e-02
3.80189396320559e+01	1.00000010777711e+04,3.19746849338350e-02
3.89045144994279e+01	1.00000010777738e+04,3.27194710231826e-02
3.98107170553495e+01	1.00000010777766e+04,3.34816054091604e-02
4.07380277804111e+01	1.00000010777795e+04,3.42614921855080e-02
4.16869383470333e+01	1.00000010777826e+04,3.50595448585173e-02
4.26579518801591e+01	1.00000010777858e+04,3.58761865662791e-02
4.36515832240164e+01	1.00000010777891e+04,3.67118503030362e-02
4.46683592150961e+01	1.00000010777926e+04,3.75669791487634e-02
4.57088189614873e+01	1.00000010777963e+04,3.84420265040936e-02
4.67735141287196e+01	1.00000010778002e+04,3.93374563307173e-02
4.78630092322636e+01	1.00000010778042e+04,4.02537433973810e-02
4.89778819368444e+01	1.00000010778084e+04,4.11913735316160e-02
5.01187233627270e+01	1.00000010778129e+04,4.21508438773305e-02
5.12861383991362e+01	1.00000010778175e+04,4.31326631584020e-02
5.24807460249770e+01	1.00000010778223e+04,4.41373519484094e-02
5.37031796370250e+01	1.00000010778274e+04,4.51654429466476e-02
5.49540873857622e+01	1.00000010778327e+04,4.62174812605725e-02
5.62341325190346e+01	1.00000010778383e+04,4.72940246948236e-02
5.75439937337154e+01	1.00000010778441e+04,4.83956440469795e-02
5.88843655355586e+01	1.00000010778502e+04,4.95229234102024e-02
6.02559586074355e+01	1.00000010778566e+04,5.06764604829322e-02
6.16595001861479e+01	1.00000010778633e+04,5.18568668857938e-02
6.30957344480190e+01	1.00000010778703e+04,5.30647684858866e-02
6.45654229034652e+01	1.00000010778777e+04,5.43008057286275e-02
6.60693448007593e+01	1.00000010778854e+04,5.55656339773236e-02
6.76082975391978e+01	1.00000010778934e+04,5.68599238606546e-02
6.91830970918933e+01	1.00000010779018e+04,5.81843616282487e-02
7.07945784384134e+01	1.00000010779106e+04,5.95396495145413e-02
7.24435960074986e+01	1.00000010779199e+04,6.09265061111094e-02
7.41310241300914e+01	1.00000010779296e+04,6.23456667476778e-02
7.58577575029180e+01	1.00000010779397e+04,6.37978838820010e-02
7.76247116628688e+01	1.00000010779503e+04,6.52839274988262e-02
7.94328234724277e+01	1.00000010779614e+04,6.68045855181493e-02
8.12830516164095e+01	1.00000010779730e+04,6.83606642129808e-02
8.31763771102667e+01	1.00000010779852e+04,6.99529886368419e-02
8.51138038202372e+01	1.00000010779980e+04,7.15824030612195e-02
8.70963589956076e+01	1.00000010780113e+04,7.32497714232093e-02
8.91250938133741e+01	1.00000010780253e+04,7.49559777835875e-02
9.12010839355905e+01	1.00000010780400e+04,7.67019267955509e-02
9.33254300796986e+01	1.00000010780553e+04,7.84885441843765e-02
9.54992586021431e+01	1.00000010780714e+04,8.03167772382528e-02
9.77237220955805e+01	1.00000010780882e+04,8.21875953105449e-02
9.99999999999995e+01	1.00000010781058e+04,8.41019903337583e-02
1.02329299228075e+02	1.00000010781242e+04,8.60609773454748e-02
1.04712854805089e+02	1.00000010781435e+04,8.80655950265388e-02
1.07151930523760e+02	1.00000010781637e+04,9.01169062517796e-02
1.09647819614318e+02	1.00000010781849e+04,9.22159986535615e-02
1.12201845430196e+02	1.00000010782071e+04,9.43639851984615e-02
1.14815362149688e+02	1.00000010782303e+04,9.65620047773782e-02
1.17489755493952e+02	1.00000010782546e+04,9.88112228093872e-02
1.20226443461741e+02	1.00000010782800e+04,1.01112831859662e-01
1.23026877081237e+02	1.00000010783067e+04,1.03468052271787e-01
1.25892541179416e+02	1.00000010783346e+04,1.05878132814800e-01
1.28824955169313e+02	1.00000010783638e+04,1.08344351345308e-01
1.31825673855640e+02	1.00000010783944e+04,1.10868015485021e-01
1.34896288259165e+02	1.00000010784264e+04,1.13450463314070e-01
1.38038426460288e+02	1.00000010784600e+04,1.16093064080480e-01
1.41253754462275e+02	1.00000010784951e+04,1.18797218926156e-01
1.44543977074592e+02	1.00000010785319e+04,1.21564361629793e-01
1.47910838816820e+02	1.00000010785704e+04,1.24395959367081e-01
1.51356124843620e+02	1.00000010786108e+04,1.27293513488622e-01
1.54881661891247e+02	1.00000010786530e+04,1.30258560315967e-01
1.58489319246110e+02	1.00000010786972e+04,1.33292671956193e-01
1.62181009735892e+02	1.00000010787435e+04,1.36397457135453e-01
1.65958690743755e+02	1.00000010787920e+04,1.39574562051949e-01
1.69824365246173e+02	1.00000010788428e+04,1.42825671248763e-01
1.73780082874936e+02	1.00000010788960e+04,1.46152508507027e-01
1.77827941003891e+02	1.00000010789517e+04,1.49556837759895e-01
1.81970085860997e+02	1.00000010790099e+04,1.53040464027799e-01
1.86208713666286e+02	1.00000010790710e+04,1.56605234375501e-01
1.90546071796323e+02	1.00000010791349e+04,1.60253038891427e-01
1.94984459975803e+02	1.00000010792019e+04,1.63985811689820e-01
1.99526231496887e+02	1.00000010792720e+04,1.67805531936230e-01
2.04173794466952e+02	1.00000010793454e+04,1.71714224896894e-01
2.08929613085403e+02	1.00000010794222e+04,1.75713963012562e-01
2.13796208950222e+02	1.00000010795027e+04,1.79806866997330e-01
2.18776162394954e+02	1.00000010795870e+04,1.83995106963071e-01
2.23872113856832e+02	1.00000010796752e+04,1.88280903570056e-01
2.29086765276776e+02	1.00000010797676e+04,1.92666529204383e-01
2.34422881531991e+02	1.00000010798644e+04,1.97154309182817e-01
2.39883291901947e+02	1.00000010799657e+04,2.01746622985712e-01
2.45470891568501e+02	1.00000010800718e+04,2.06445905518639e-01
2.51188643150956e+02	1.00000010801829e+04,2.11254648403406e-01
2.57039578276885e+02	1.00000010802992e+04,2.16175401299148e-01
2.63026799189536e+02	1.00000010804210e+04,2.21210773254193e-01
2.69153480392690e+02	1.00000010805485e+04,2.26363434089411e-01
2.75422870333815e+02	1.00000010806821e+04,2.31636115813787e-01
2.81838293126443e+02	1.00000010808220e+04,2.37031614072975e-01
2.88403150312659e+02	1.00000010809684e+04,2.42552789631578e-01
2.95120922666637e+02	1.00000010811217e+04,2.48202569889971e-01
3.01995172040200e+02	1.00000010812823e+04,2.53983950436442e-01
3.09029543251357e+02	1.00000010814505e+04,2.59899996635493e-01
3.16227766016836e+02	1.00000010816265e+04,2.65953845253143e-01
3.23593656929626e+02	1.00000010818109e+04,2.72148706120072e-01
3.31131121482589e+02	1.00000010820039e+04,2.78487863833528e-01
3.38844156139200e+02	1.00000010822061e+04,2.84974679498855e-01
3.46736850452529e+02	1.00000010824178e+04,2.91612592511599e-01
3.54813389233573e+02	1.00000010826394e+04,2.98405122381121e-01
3.63078054770099e+02	1.00000010828715e+04,3.05355870596688e-01
3.71535229097170e+02	1.00000010831146e+04,3.12468522537030e-01
3.80189396320558e+02	1.00000010833691e+04,3.19746849424375e-01
3.89045144994278e+02	1.00000010836355e+04,3.27194710324003e-01
3.98107170553494e+02	1.00000010839146e+04,3.34816054190373e-01
4.07380277804110e+02	1.00000010842068e+04,3.42614921960914e-01
4.16869383470332e+02	1.00000010845127e+04,3.50595448698576e-01
4.26579518801589e+02	1.00000010848331e+04,3.58761865784304e-01
4.36515832240163e+02	1.00000010851686e+04,3.67118503160566e-01
4.46683592150960e+02	1.00000010855199e+04,3.75669791627150e-01
4.57088189614872e+02	1.00000010858878e+04,3.84420265190430e-01
4.67735141287195e+02	1.00000010862730e+04,3.93374563467358e-01
4.78630092322635e+02	1.00000010866763e+04,4.02537434145452e-01
4.89778819368442e+02	1.00000010870987e+04,4.11913735500077e-01
5.01187233627268e+02	1.00000010875409e+04,4.21508438970377e-01
5.12861383991361e+02	1.00000010880040e+04,4.31326631795186e-01
5.24807460249769e+02	1.00000010884889e+04,4.41373519710362e-01
5.37031796370249e+02	1.00000010889967e+04,4.51654429708927e-01
5.49540873857620e+02	1.00000010895284e+04,4.62174812865516e-01
5.62341325190345e+02	1.00000010900852e+04,4.72940247226607e-01
5.75439937337152e+02	1.00000010906682e+04,4.83956440768075e-01
5.88843655355584e+02	1.00000010912787e+04,4.95229234421637e-01
6.02559586074353e+02	1.00000010919180e+04,5.06764605171793e-01
6.16595001861477e+02	1.00000010925873e+04,5.18568669224903e-01
6.30957344480188e+02	1.00000010932883e+04,5.30647685252075e-01
6.45654229034650e+02	1.00000010940222e+04,5.43008057707607e-01
6.60693448007591e+02	1.00000010947908e+04,5.55656340224702e-01
6.76082975391976e+02	1.00000010955956e+04,5.68599239090301e-01
6.91830970918931e+02	1.00000010964383e+04,5.81843616800839e-01
7.07945784384132e+02	1.00000010973207e+04,5.95396495700837e-01
7.24435960074984e+02	1.00000010982447e+04,6.09265061706242e-01
7.41310241300911e+02	1.00000010992123e+04,6.23456668114490e-01
7.58577575029177e+02	1.00000011002254e+04,6.37978839503331e-01
7.76247116628685e+02	1.00000011012863e+04,6.52839275720454e-01
7.94328234724275e+02	1.00000011023972e+04,6.68045855966051e-01
8.12830516164092e+02	1.00000011035605e+04,6.83606642970477e-01
8.31763771102664e+02	1.00000011047786e+04,6.99529887269212e-01
8.51138038202369e+02	1.00000011060540e+04,7.15824031577411e-01
8.70963589956073e+02	1.00000011073896e+04,7.32497715266342e-01
8.91250938133738e+02	1.00000011087882e+04,7.49559778944092e-01
9.12010839355902e+02	1.00000011102526e+04,7.67019269142986e-01
9.33254300796983e+02	1.00000011117861e+04,7.84885443116170e-01
9.54992586021428e+02	1.00000011133918e+04,8.03167773745934e-01
9.77237220955802e+02	1.00000011150733e+04,8.21875954566365e-01
9.99999999999991e+02	1.00000011168339e+04,8.41019904902983e-01
1.02329299228075e+03	1.00000011186776e+04,8.60609775132105e-01
1.04712854805089e+03	1.00000011206081e+04,8.80655952062708e-01
1.07151930523760e+03	1.00000011226296e+04,9.01169064443659e-01
1.09647819614318e+03	1.00000011247464e+04,9.22159988599214e-01
1.12201845430195e+03	1.00000011269629e+04,9.43639854195801e-01
1.14815362149687e+03	1.00000011292839e+04,9.65620050143110e-01
1.17489755493952e+03	1.00000011317143e+04,9.88112230632653e-01
1.20226443461740e+03	1.00000011342592e+04,1.01112832131697e+00
1.23026877081237e+03	1.00000011369241e+04,1.03468052563278e+00
1.25892541179416e+03	1.00000011397146e+04,1.05878133127138e+00
1.28824955169312e+03	1.00000011426365e+04,1.08344351679984e+00
1.31825673855640e+03	1.00000011456962e+04,1.10868015843633e+00
1.34896288259164e+03	1.00000011489001e+04,1.13450463698330e+00
1.38038426460287e+03	1.00000011522549e+04,1.16093064492222e+00
1.41253754462274e+03	1.00000011557679e+04,1.18797219367346e+00
1.44543977074591e+03	1.00000011594465e+04,1.21564362102536e+00
1.47910838816819e+03	1.00000011632984e+04,1.24395959873634e+00
1.51356124843619e+03	1.00000011673318e+04,1.27293514031404e+00
1.54881661891247e+03	1.00000011715553e+04,1.30258560897568e+00
1.58489319246110e+03	1.00000011759779e+04,1.33292672579389e+00
1.62181009735891e+03	1.00000011806089e+04,1.36397457803220e+00
1.65958690743754e+03	1.00000011854582e+04,1.39574562767474e+00
1.69824365246173e+03	1.00000011905360e+04,1.42825672015462e+00
1.73780082874936e+03	1.00000011958531e+04,1.46152509328560e+00
1.77827941003891e+03	1.00000012014208e+04,1.49556838640183e+00
1.81970085860997e+03	1.00000012072509e+04,1.53040464971044e+00
1.86208713666285e+03	1.00000012133558e+04,1.56605235386207e+00
1.90546071796323e+03	1.00000012197483e+04,1.60253039974418e+00
1.94984459975803e+03	1.00000012264422e+04,1.63985812850266e+00
1.99526231496886e+03	1.00000012334515e+04,1.67805533179669e+00
2.04173794466951e+03	1.00000012407911e+04,1.71714226229263e+00
2.08929613085402e+03	1.00000012484767e+04,1.75713964440221e+00
2.13796208950221e+03	1.00000012565245e+04,1.79806868527093e+00
2.18776162394953e+03	1.00000012649515e+04,1.83995108602241e+00
2.23872113856832e+03	1.00000012737757e+04,1.88280905326459e+00
2.29086765276775e+03	1.00000012830158e+04,1.92666531086402e+00
2.34422881531990e+03	1.00000012926914e+04,1.97154311199436e+00
2.39883291901947e+03	1.00000013028229e+04,2.01746625146558e+00
2.45470891568501e+03	1.00000013134319e+04,2.06445907834027e+00
2.51188643150955e+03	1.00000013245410e+04,2.11254650884388e+00
2.57039578276884e+03	1.00000013361735e+04,2.16175403957568e+00
2.63026799189535e+03	1.00000013483543e+04,2.21210776102741e+00
2.69153480392689e+03	1.00000013611092e+04,2.26363437141683e+00
2.75422870333814e+03	1.00000013744652e+04,2.31636119084355e+00
2.81838293126442e+03	1.00000013884506e+04,2.37031617577450e+00
2.88403150312658e+03	1.00000014030951e+04,2.42552793386690e+00
2.95120922666635e+03	1.00000014184299e+04,2.48202573913645e+00
3.01995172040198e+03	1.00000014344873e+04,2.53983954747884e+00
3.09029543251356e+03	1.00000014513015e+04,2.59900001255285e+00
3.16227766016835e+03	1.00000014689081e+04,2.65953850203337e+00
3.23593656929625e+03	1.00000014873445e+04,2.72148711424298e+00
3.31131121482588e+03	1.00000015066498e+04,2.78487869517106e+00
3.38844156139199e+03	1.00000015268649e+04,2.84974685588916e+00
3.46736850452528e+03	1.00000015480327e+04,2.91612599037213e+00
3.54813389233572e+03	1.00000015701981e+04,2.98405129373439e+00
3.63078054770097e+03	1.00000015934081e+04,3.05355878089088e+00
3.71535229097168e+03	1.00000016177120e+04,3.12468530565276e+00
3.80189396320557e+03	1.00000016431614e+04,3.19746858026790e+00
3.89045144994276e+03	1.00000016698101e+04,3.27194719541651e+00
3.98107170553493e+03	1.00000016977147e+04,3.34816064067255e+00
4.07380277804108e+03	1.00000017269344e+04,3.42614932544175e+00
4.16869383470331e+03	1.00000017575312e+04,3.50595460038737e+00
4.26579518801588e+03	1.00000017895700e+04,3.58761877935496e+00
4.36515832240161e+03	1.00000018231187e+04,3.67118516180792e+00
4.46683592150958e+03	1.00000018582486e+04,3.75669805578562e+00
4.57088189614870e+03	1.00000018950341e+04,3.84420280139624e+00
4.67735141287193e+03	1.00000019335532e+04,3.93374579485694e+00
4.78630092322633e+03	1.00000019738876e+04,4.02537451309391e+00
4.89778819368441e+03	1.00000020161230e+04,4.11913753891551e+00
5.01187233627267e+03	1.00000020603489e+04,4.21508458677175e+00
5.12861383991359e+03	1.00000021066591e+04,4.31326652911378e+00
5.24807460249767e+03	1.00000021551518e+04,4.41373542336742e+00
5.37031796370247e+03	1.00000022059299e+04,4.51654453953500e+00
5.49540873857618e+03	1.00000022591011e+04,4.62174838844012e+00
5.62341325190343e+03	1.00000023147782e+04,4.72940275063029e+00
5.75439937337150e+03	1.00000023730793e+04,4.83956470595297e+00
5.88843655355582e+03	1.00000024341281e+04,4.95229266382034e+00
6.02559586074351e+03	1.00000024980540e+04,5.06764639417923e+00
6.16595001861475e+03	1.00000025649926e+04,5.18568705920232e+00
6.30957344480186e+03	1.00000026350860e+04,5.30647724571763e+00
6.45654229034648e+03	1.00000027084828e+04,5.43008099839336e+00
6.60693448007588e+03	1.00000027853387e+04,5.55656385369580e+00
6.76082975391974e+03	1.00000028658167e+04,5.68599287463815e+00
6.91830970918928e+03	1.00000029500875e+04,5.81843668633889e+00
7.07945784384129e+03	1.00000030383299e+04,5.95396551240833e+00
7.24435960074981e+03	1.00000031307311e+04,6.09265121218286e+00
7.41310241300908e+03	1.00000032274870e+04,6.23456731882646e+00
7.58577575029174e+03	1.00000033288029e+04,6.37978907831975e+00
7.76247116628682e+03	1.00000034348937e+04,6.52839348935727e+00
7.94328234724272e+03	1.00000035459844e+04,6.68045934417419e+00
8.12830516164089e+03	1.00000036623107e+04,6.83606727032397e+00
8.31763771102661e+03	1.00000037841193e+04,6.99529977342918e+00
8.51138038202366e+03	1.00000039116687e+04,7.15824128092829e+00
8.70963589956070e+03	1.00000040452292e+04,7.32497818684142e+00
8.91250938133734e+03	1.00000041850844e+04,7.49559889757888e+00
9.12010839355898e+03	1.00000043315307e+04,7.67019387881688e+00
9.33254300796979e+03	1.00000044848789e+04,7.84885570346511e+00
9.54992586021424e+03	1.00000046454543e+04,8.03167910075172e+00
9.77237220955798e+03	1.00000048135974e+04,8.21876100645182e+00
9.99999999999987e+03	1.00000049896649e+04,8.41020061428592e+00
1.02329299228074e+04	1.00000051740302e+04,8.60609942851570e+00
1.04712854805089e+04	1.00000053670845e+04,8.80656131776517e+00
1.07151930523759e+04	1.00000055692373e+04,9.01169257009535e+00
1.09647819614317e+04	1.00000057809174e+04,9.22160194936216e+00
1.12201845430195e+04	1.00000060025737e+04,9.43640075288698e+00
1.14815362149687e+04	1.00000062346765e+04,9.65620287047093e+00
1.17489755493951e+04	1.00000064777180e+04,9.88112484478355e+00
1.20226443461740e+04	1.00000067322139e+04,1.01112859331587e+01
1.23026877081237e+04	1.00000069987040e+04,1.03468081708298e+01
1.25892541179415e+04	1.00000072777536e+04,1.05878164356380e+01
1.28824955169312e+04	1.00000075699545e+04,1.08344385142484e+01
1.31825673855639e+04	1.00000078759266e+04,1.10868051699082e+01
1.34896288259164e+04	1.00000081963190e+04,1.13450502117839e+01
1.38038426460287e+04	1.00000085318113e+04,1.16093105659135e+01
1.41253754462274e+04	1.00000088831150e+04,1.18797263478114e+01
1.44543977074591e+04	1.00000092509755e+04,1.21564409367656e+01
1.47910838816819e+04	1.00000096361731e+04,1.24396010518652e+01
1.51356124843619e+04	1.00000100395248e+04,1.27293568297990e+01
1.54881661891246e+04	1.00000104618863e+04,1.30258619044671e+01
1.58489319246109e+04	1.00000109041534e+04,1.33292734884467e+01
1.62181009735891e+04	1.00000113672645e+04,1.36397524563568e+01
1.65958690743754e+04	1.00000118522018e+04,1.39574634301640e+01
